campaignTitle,title_word_ct,title_word_match,title_word_score,blurb_word_ct,blurb_word_match,blurb_word_score
Pixelmash: Easily Create Pixel Art From Photos Or Sketches,5.00E+00,2.00E+00,2.60E+01,2.20E+01,1.10E+01,3.44E+02
Help Our Band Get Famous,1.00E+01,6.00E+00,8.10E+01,2.20E+01,1.20E+01,6.77E+02
The Patchwork Circus - A Children's Picture Book,6.00E+00,3.00E+00,1.80E+01,3.10E+01,8.00E+00,1.54E+02
Dark Light,9.00E+00,3.00E+00,8.70E+01,2.30E+01,8.00E+00,4.30E+02
Shadows of Illyria Series,3.00E+00,2.00E+00,7.30E+01,2.30E+01,1.10E+01,3.27E+02
Scar to Angel,5.00E+00,2.00E+00,3.50E+01,2.50E+01,1.30E+01,1.52E+03
Wrap City Gal,4.00E+00,0.00E+00,0.00E+00,2.40E+01,1.00E+01,2.26E+02
From The Cold Dark Mountains,4.00E+00,2.00E+00,2.00E+01,2.10E+01,1.00E+01,5.20E+02
Real And Personal,6.00E+00,3.00E+00,8.70E+01,2.10E+01,1.00E+01,8.19E+02
A Bite of a Snake Play,4.00E+00,2.00E+00,2.40E+01,2.70E+01,1.10E+01,1.33E+03
ZOS Halo: Drink Wine Your Way,7.00E+00,2.00E+00,1.70E+01,1.30E+01,8.00E+00,4.14E+02
izUiz,7.00E+00,4.00E+00,2.42E+02,1.80E+01,9.00E+00,1.81E+03
Chef Jocelyn's Food School,2.00E+00,0.00E+00,0.00E+00,2.20E+01,1.40E+01,2.33E+02
Hobo Lifestyle Podcast,6.00E+00,3.00E+00,2.60E+01,2.00E+01,1.10E+01,3.04E+02
Spook-o'-tron: a Halloween-themed Homebrew Game for the NES,4.00E+00,2.00E+00,8.00E+00,2.10E+01,1.10E+01,1.64E+03
Virginia Beer Lovers,1.20E+01,3.00E+00,2.84E+02,2.10E+01,1.30E+01,1.27E+03
A Girl & Her Guitar & Friends (USA & UK tour campaign),4.00E+00,2.00E+00,1.70E+01,2.20E+01,1.00E+01,4.65E+02
The Giant Flowers in Highland Park,1.30E+01,5.00E+00,4.10E+01,2.80E+01,1.10E+01,9.15E+02
Nelli Nichole album,7.00E+00,2.00E+00,1.10E+01,2.80E+01,1.30E+01,1.47E+02
Blind Side View,4.00E+00,1.00E+00,4.70E+01,2.80E+01,1.20E+01,1.58E+03
Shield of the Interceptor: Last Knight of Avalon,4.00E+00,1.00E+00,8.00E+00,2.10E+01,1.20E+01,1.26E+02
Mark Making Art Show,9.00E+00,4.00E+00,2.50E+01,2.40E+01,1.00E+01,1.84E+02
The Iron Wall,5.00E+00,3.00E+00,1.70E+01,1.60E+01,4.00E+00,5.40E+01
PLEN Cube: The Portable Personal Assistant Robot,4.00E+00,2.00E+00,1.50E+01,2.30E+01,1.00E+01,8.20E+01
Hotel California,8.00E+00,4.00E+00,5.30E+01,1.90E+01,1.20E+01,1.40E+03
Craft & Vintage,3.00E+00,2.00E+00,3.00E+00,2.50E+01,1.40E+01,6.67E+02
Eagle & Cross Leathercraft,4.00E+00,2.00E+00,9.00E+00,2.40E+01,1.40E+01,1.70E+03
Chapters of His Story,5.00E+00,1.00E+00,2.00E+00,1.90E+01,1.10E+01,3.68E+02
TART: Trump Inspired Art,5.00E+00,2.00E+00,4.40E+01,1.80E+01,1.10E+01,1.56E+03
Esper Genesis: Heroic Sci-Fi Role-Playing for 5E,5.00E+00,1.00E+00,1.00E+01,2.40E+01,9.00E+00,4.04E+02
Between A to B,1.00E+01,4.00E+00,7.20E+01,2.40E+01,1.30E+01,2.00E+03
Side Hustle,5.00E+00,1.00E+00,3.00E+00,2.80E+01,1.00E+01,2.12E+02
Uni High Unique 2016-2017,3.00E+00,2.00E+00,9.00E+00,1.50E+01,6.00E+00,1.75E+02
Red Thistle Catering Co is expanding in so many ways...,6.00E+00,4.00E+00,3.50E+01,1.30E+01,7.00E+00,2.40E+02
"Wallabout Film Festival 2017: For Students, By Students",1.10E+01,3.00E+00,6.00E+00,2.20E+01,8.00E+00,1.05E+03
Super Cat Enamel Pin,9.00E+00,3.00E+00,5.30E+01,2.20E+01,9.00E+00,7.38E+02
THE Ice Cream Truck,5.00E+00,1.00E+00,2.00E+01,2.00E+01,1.00E+01,4.69E+02
Space Valley,5.00E+00,1.00E+00,2.00E+00,2.60E+01,9.00E+00,5.68E+02
Robot Monster Hologram,3.00E+00,2.00E+00,3.50E+01,2.40E+01,1.00E+01,1.33E+03
EDM/Dance,4.00E+00,2.00E+00,2.50E+01,2.50E+01,1.10E+01,2.74E+03
Red Mountain,3.00E+00,1.00E+00,1.00E+00,9.00E+00,5.00E+00,1.53E+02
"MUSIC VIDEO for Oh My B'gosh, a family friendly hip-hop song",3.00E+00,1.00E+00,2.00E+00,2.10E+01,8.00E+00,2.63E+02
The Logan Family Life Story- Story of Miss Hattie,1.40E+01,5.00E+00,7.70E+01,2.80E+01,8.00E+00,8.46E+02
New Website!,1.00E+01,6.00E+00,1.43E+02,2.60E+01,1.10E+01,8.11E+02
"RAPTOR TACTICAL - ODIN tactical belt system Mark I, II, III",3.00E+00,1.00E+00,1.00E+00,2.30E+01,1.10E+01,3.47E+02
Ten T-Shirts With Messages That Protest Comrade Donald Trump,1.10E+01,7.00E+00,7.80E+01,2.70E+01,1.40E+01,1.62E+03
Black Ink Bitters (Michigan Made Product),1.10E+01,3.00E+00,1.96E+02,2.50E+01,1.10E+01,1.18E+03
New Aaron McDonnell Record!,7.00E+00,3.00E+00,5.20E+01,1.80E+01,9.00E+00,2.82E+02
boB the Reindeer a Children's Christmas Book,5.00E+00,2.00E+00,1.10E+01,2.70E+01,1.50E+01,1.50E+03
B-ING HUMAN,9.00E+00,3.00E+00,8.60E+01,1.00E+01,5.00E+00,3.38E+02
Willbros Salmon Co. | Spreading Wild Alaskan Salmon love!,4.00E+00,1.00E+00,3.00E+00,1.80E+01,9.00E+00,8.73E+02
Russell Stern's Next Album,9.00E+00,2.00E+00,2.00E+01,2.30E+01,1.20E+01,1.15E+03
The Artists Sanctuary,6.00E+00,2.00E+00,7.00E+01,2.10E+01,1.30E+01,6.09E+02
Galahad and the Far-Off Horizon,4.00E+00,2.00E+00,6.00E+00,2.10E+01,9.00E+00,3.93E+02
Tintype( Wetplate Collodion) Studio,7.00E+00,0.00E+00,0.00E+00,2.20E+01,1.20E+01,1.57E+02
The Petzvar medium format petzval lens now adapted for video,5.00E+00,1.00E+00,1.50E+01,2.60E+01,1.30E+01,6.70E+02
Ulysses S. Grant Sculpture,1.10E+01,3.00E+00,4.60E+01,2.70E+01,1.00E+01,1.41E+02
St Paul Bagelry To Open in Minneapolis,5.00E+00,0.00E+00,0.00E+00,2.50E+01,1.30E+01,3.46E+02
Sinistre Issue #1,8.00E+00,2.00E+00,2.40E+01,1.90E+01,6.00E+00,3.10E+02
South Side Collection,4.00E+00,1.00E+00,4.00E+00,2.20E+01,1.10E+01,5.67E+02
Confronting the Works of Luigi Serafini - NEW EDITION,4.00E+00,2.00E+00,2.90E+01,1.50E+01,9.00E+00,1.15E+03
Global Hobo: Travel Stories Blog,9.00E+00,2.00E+00,7.50E+01,2.40E+01,9.00E+00,3.37E+02
The Assassination & Mrs. Paine,6.00E+00,3.00E+00,3.60E+01,2.70E+01,1.20E+01,1.52E+03
Pocket Sketching syllabus and two books,6.00E+00,1.00E+00,1.00E+00,2.50E+01,1.00E+01,2.33E+02
Jason's Donuts The Most Northern In America,7.00E+00,3.00E+00,4.70E+01,1.90E+01,1.00E+01,2.20E+02
Aleluya (In honor of the late Leonard Cohen),9.00E+00,4.00E+00,6.00E+01,2.20E+01,9.00E+00,7.03E+02
Ataraxia,9.00E+00,1.00E+00,1.00E+00,2.00E+01,7.00E+00,1.24E+02
